GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
game-of-mates,au.gameofmates.model.resources,Organisation,98,0,8,0,4,0,10,0,6,0
game-of-mates,au.gameofmates.model.resources,Place,150,0,6,0,8,0,24,0,21,0
game-of-mates,au.gameofmates.model.resources,Organisation.OrganisationBuilder,194,0,0,0,1,0,18,0,18,0
game-of-mates,au.gameofmates.model.resources,Person,89,0,8,0,9,0,14,0,10,0
game-of-mates,au.gameofmates.model.resources,Place.PlaceBuilder,98,0,0,0,1,0,10,0,10,0
game-of-mates,au.gameofmates.model.resources,Person.PersonBuilder,38,0,0,0,1,0,5,0,5,0
game-of-mates,au.gameofmates.model.relationships,Knows,141,0,8,0,17,0,22,0,18,0
game-of-mates,au.gameofmates.model.relationships,Knows.KnowsBuilder,38,0,0,0,1,0,5,0,5,0
game-of-mates,au.gameofmates.model.types,RoleType,169,0,0,0,17,0,2,0,2,0
game-of-mates,au.gameofmates.model.types,Address,177,0,8,0,12,0,25,0,21,0
game-of-mates,au.gameofmates.model.types,Address.AddressBuilder,98,0,0,0,1,0,10,0,10,0
game-of-mates,au.gameofmates.model.types,QuantitiveValue,3,0,0,0,1,0,1,0,1,0
game-of-mates,au.gameofmates.providers,AustraliaParser,165,0,8,0,36,0,8,0,4,0
game-of-mates,au.gameofmates.model,AbstractVertexLoader,440,135,80,6,12,24,54,14,13,12
game-of-mates,au.gameofmates.model,RelationshipGraphSpec,109,17,22,0,0,3,15,5,4,5
game-of-mates,au.gameofmates.model,LoadableGraphSpec,76,7,14,0,1,1,12,2,5,2
game-of-mates,au.gameofmates.model,Location,169,0,30,0,4,0,26,0,11,0
game-of-mates,au.gameofmates.model,Role,5,0,0,0,2,0,2,0,2,0
