number,id,CODE,name,province,state,long,lat,dc,type,lastUpdate,sa3,sa3name,sa4,sa4name,region
230,urn:australiapost.com.au:postcode:200_ANU,200,ANU,urn:iso:std:iso:3166:-2:AU-ACT,ACT,0,0,,,,,,,,R1
21820,urn:australiapost.com.au:postcode:200_AustralianNationalUniversity,200,Australian National University,urn:iso:std:iso:3166:-2:AU-ACT,ACT,149.1189,-35.2777,,,2020-01-19,,,,,R1
232,urn:australiapost.com.au:postcode:800_DARWIN,800,DARWIN,urn:iso:std:iso:3166:-2:AU-NT,NT,130.83668,-12.458684,,,2020-02-06,70101,Darwin City,701,Darwin,R1
233,urn:australiapost.com.au:postcode:801_DARWIN,801,DARWIN,urn:iso:std:iso:3166:-2:AU-NT,NT,130.83668,-12.458684,,,2020-03-25,70101,Darwin City,701,Darwin,R1
234,urn:australiapost.com.au:postcode:804_PARAP,804,PARAP,urn:iso:std:iso:3166:-2:AU-NT,NT,130.873315,-12.428017,,,2020-03-25,70102,Darwin Suburbs,701,Darwin,R1
235,urn:australiapost.com.au:postcode:810_ALAWA,810,ALAWA,urn:iso:std:iso:3166:-2:AU-NT,NT,130.866242,-12.381806,,,2020-02-06,70102,Darwin Suburbs,701,Darwin,R1
236,urn:australiapost.com.au:postcode:810_BRINKIN,810,BRINKIN,urn:iso:std:iso:3166:-2:AU-NT,NT,130.866242,-12.381806,,,2020-02-06,70102,Darwin Suburbs,701,Darwin,R1
237,urn:australiapost.com.au:postcode:810_CASUARINA,810,CASUARINA,urn:iso:std:iso:3166:-2:AU-NT,NT,130.866242,-12.381806,,,2020-02-06,70102,Darwin Suburbs,701,Darwin,R1
19972,urn:australiapost.com.au:postcode:810_COCONUTGROVE,810,COCONUT GROVE,urn:iso:std:iso:3166:-2:AU-NT,NT,130.8502369,-12.39614166,Northern Territory Country 1,Delivery Area,2020-02-06,70102,Darwin Suburbs,701,Darwin,R1
239,urn:australiapost.com.au:postcode:810_JINGILI,810,JINGILI,urn:iso:std:iso:3166:-2:AU-NT,NT,130.866242,-12.381806,,,2020-02-06,70102,Darwin Suburbs,701,Darwin,R1
240,urn:australiapost.com.au:postcode:810_LEEPOINT,810,LEE POINT,urn:iso:std:iso:3166:-2:AU-NT,NT,130.866242,-12.381806,,,2020-02-06,70102,Darwin Suburbs,701,Darwin,R1
19973,urn:australiapost.com.au:postcode:810_LYONS,810,LYONS,urn:iso:std:iso:3166:-2:AU-NT,NT,130.8885151,-12.35911956,Northern Territory Country 1,Delivery Area,2020-02-06,70102,Darwin Suburbs,701,Darwin,R1
241,urn:australiapost.com.au:postcode:810_MILLNER,810,MILLNER,urn:iso:std:iso:3166:-2:AU-NT,NT,130.866242,-12.381806,,,2020-02-06,70102,Darwin Suburbs,701,Darwin,R1
242,urn:australiapost.com.au:postcode:810_MOIL,810,MOIL,urn:iso:std:iso:3166:-2:AU-NT,NT,130.866242,-12.381806,,,2020-02-06,70102,Darwin Suburbs,701,Darwin,R1
19974,urn:australiapost.com.au:postcode:810_MUIRHEAD,810,MUIRHEAD,urn:iso:std:iso:3166:-2:AU-NT,NT,130.8959029,-12.35811947,Northern Territory Country 1,Delivery Area,2020-02-06,70102,Darwin Suburbs,701,Darwin,R1
