internationalCode,currency,asxCode,name,alternativeName,acn,abn,website,imageURL,marketCap2021-02-11,effectiveFromDate,effectiveToDate
CBA:ASX,AUD,CBA,Commonwealth Bank of Australia,,,,,,$154.12 B,,
,,BHP,BHP Group Ltd,,,,,,$131.74 B,,
,,CSL,CSL Ltd,,,,,,$125.92 B,,
,,NAB,National Australia Bank Ltd,,,,,,$82.2 B,,
,,WBC,Westpac Banking Corporation,,,,,,$81.22 B,,
,,FMG,Fortescue Metals Group Ltd,,,,,,$73.37 B,,
,,ANZ,Australia and New Zealand Banking Group Ltd,,,,,,$70.63 B,,
,,WES,Wesfarmers Ltd,,,,,,$62.36 B,,
,,MQG,Macquarie Group Ltd,,,,,,$52.2 B,,
,,WOW,Woolworths Group Ltd,,,,,,$52.01 B,,
,,RIO,RIO Tinto Ltd,,,,,,$43.56 B,,
,,APT,Afterpay Ltd,,,,,,$43.27 B,,
-,,TLS,Telstra Corporation Ltd,,,,,,$38.65 B,,
,,TCL,Transurban Group,,,,,,$35.71 B,,
,,GMG,Goodman Group,,,,,,$33.18 B,,
,,COL,Coles Group Ltd,,,,,,$24.21 B,,
,,WPL,Woodside Petroleum Ltd,,,,,,$24.04 B,,
,,NCM,Newcrest Mining Ltd,,,,,,$21.2 B,,
,,ALL,Aristocrat Leisure Ltd,,,,,,$21.12 B,,
,,REA,REA Group Ltd,,,,,,$20.76 B,,
,,XRO,Xero Ltd,,,,,,$19.11 B,,
,,JHX,James Hardie Industries Plc,,,,,,$18.08 B,,
,,FPH,Fisher & Paykel Healthcare Corporation Ltd,,,,,,$17.29 B,,
,,SHL,Sonic Healthcare Ltd,,,,,,$16.38 B,,
,,BXB,Brambles Ltd,,,,,,$15.3 B,,
,,SYD,Sydney Airport,,,,,,$15.09 B,,
,,RHC,Ramsay Health Care Ltd,,,,,,$14.77 B,,
,,STO,Santos Ltd,,,,,,$14.19 B,,
,,SCG,Scentre Group,,,,,,$13.96 B,,
,,TPG,TPG Telecom Ltd,,,,,,$13.78 B,,
-,,MGOC,Magellan Global Fund (Open Class) (Managed Fund),,,,,,$13.74 B,,
,,ASX,ASX Ltd,,,,,,$13.63 B,,
,,COH,Cochlear Ltd,,,,,,$13.57 B,,
,,SUN,Suncorp Group Ltd,,,,,,$13.47 B,,
,,IAG,Insurance Australia Group Ltd,,,,,,$13.16 B,,
,,QBE,QBE Insurance Group Ltd,,,,,,$12.74 B,,
,,AMC,Amcor Plc,,,,,,$12.63 B,,
,,S32,SOUTH32 Ltd,,,,,,$12.38 B,,
,,SGP,Stockland,,,,,,$11.2 B,,
,,APA,APA Group,,,,,,$11.19 B,,
,,SEK,Seek Ltd,,,,,,$11.03 B,,
,,WTC,Wisetech Global Ltd,,,,,,$10.67 B,,
,,REH,Reece Ltd,,,,,,$10.39 B,,
,,TAH,Tabcorp Holdings Ltd,,,,,,$9.84 B,,
,,CCL,Coca-Cola Amatil Ltd,,,,,,$9.51 B,,
,,AIA,Auckland International Airport Ltd,,,,,,$9.5 B,,
,,DXS,Dexus,,,,,,$9.47 B,,
,,RMD,Resmed Inc,,,,,,$9.17 B,,
,,MGR,Mirvac Group,,,,,,$9.14 B,,
,,AFI,Australian Foundation Investment Company Ltd,,,,,,$9 B,,
,,NST,Northern Star Resources Ltd,,,,,,$8.94 B,,
,,MFG,Magellan Financial Group Ltd,,,,,,$8.9 B,,
,,QAN,Qantas Airways Ltd,,,,,,$8.58 B,,
,,BSL,Bluescope Steel Ltd,,,,,,$8.56 B,,
,,MCY,Mercury NZ Ltd,,,,,,$8.51 B,,
,,OSH,Oil Search Ltd,,,,,,$8.42 B,,
,,DMP,Domino's PIZZA Enterprises Ltd,,,,,,$8.32 B,,
,,LLC,Lendlease Group,,,,,,$8.22 B,,
-,,SPK,Spark New Zealand Ltd,,,,,,$8.07 B,,
-,,GPT,GPT Group,,,,,,$8.04 B,,
,,MPL,Medibank Private Ltd,,,,,,$7.9 B,,
,,EVN,Evolution Mining Ltd,,,,,,$7.89 B,,
,,SVW,Seven Group Holdings Ltd,,,,,,$7.68 B,,
,,ORG,Origin Energy Ltd,,,,,,$7.68 B,,
,,CPU,Computershare Ltd,,,,,,$7.68 B,,
,,PMGOLD,Gold Corporation,,,,,,$7.57 B,,
,,VAS,Vanguard Australian Shares INDEX ETF,,,,,,$7.47 B,,
,,A2M,The a2 Milk Company Ltd,,,,,,$7.4 B,,
,,TWE,Treasury Wine Estates Ltd,,,,,,$7.32 B,,
,,MEZ,Meridian Energy Ltd,,,,,,$7.19 B,,
,,AZJ,Aurizon Holdings Ltd,,,,,,$7.14 B,,
,,VCX,Vicinity Centres,,,,,,$6.99 B,,
,,IEL,Idp Education Ltd,,,,,,$6.97 B,,
,,SOL,Washington H Soul Pattinson & Company Ltd,,,,,,$6.92 B,,
,,HVN,Harvey Norman Holdings Ltd,,,,,,$6.92 B,,
,,AGL,AGL Energy Ltd,,,,,,$6.88 B,,
,,MIN,Mineral Resources Ltd,,,,,,$6.78 B,,
,,CWN,Crown Resorts Ltd,,,,,,$6.7 B,,
,,CHC,Charter Hall Group,,,,,,$6.64 B,,
,,AST,Ausnet Services Ltd,,,,,,$6.5 B,,
,,ARG,Argo Investments Ltd,,,,,,$6.44 B,,
,,CIM,Cimic Group Ltd,,,,,,$6.4 B,,
,,ALD,Ampol Ltd,,,,,,$6.37 B,,
,,OZL,OZ Minerals Ltd,,,,,,$6.37 B,,
,,ORI,Orica Ltd,,,,,,$6.23 B,,
,,BLD,Boral Ltd,,,,,,$6.18 B,,
,,Z1P,ZIP Co Ltd,,,,,,$5.98 B,,
,,JBH,JB Hi-Fi Ltd,,,,,,$5.85 B,,
,,QUB,QUBE Holdings Ltd,,,,,,$5.77 B,,
-,,NXT,NEXTDC Ltd,,,,,,$5.74 B,,
,,ALX,Atlas Arteria,,,,,,$5.7 B,,
,,ALQ,Als Ltd,,,,,,$5.37 B,,
,,CAR,Carsales.com Ltd,,,,,,$5.33 B,,
,,WOR,Worley Ltd,,,,,,$5.3 B,,
-,,SAR,Saracen Mineral Holdings Ltd,,,,,,$5.27 B,,
-,,NSTNA,Northern Star Resources Ltd,,,,,,$5.22 B,,
,,IPL,Incitec Pivot Ltd,,,,,,$5.13 B,,
,,IFT,Infratil Ltd,,,,,,$5.05 B,,
,,BEN,Bendigo and Adelaide Bank Ltd,,,,,,$5.04 B,,
,,ANN,Ansell Ltd,,,,,,$4.91 B,,
,,IGO,IGO Ltd,,,,,,$4.89 B,,
,,AWC,Alumina Ltd,,,,,,$4.89 B,,
,,FBU,Fletcher Building Ltd,,,,,,$4.86 B,,
,,CWY,Cleanaway Waste Management Ltd,,,,,,$4.82 B,,
,,PME,Pro Medicus Ltd,,,,,,$4.7 B,,
,,NEC,Nine Entertainment Co. Holdings Ltd,,,,,,$4.59 B,,
,,AMP,AMP Ltd,,,,,,$4.54 B,,
,,LYC,Lynas Rare EARTHS Ltd,,,,,,$4.53 B,,
,,EBO,Ebos Group Ltd,,,,,,$4.53 B,,
,,STW,SPDR S&P/ASX 200 Fund,,,,,,$4.35 B,,
,,CGF,Challenger Ltd,,,,,,$4.29 B,,
,,NWL,Netwealth Group Ltd,,,,,,$4.21 B,,
,,BRG,Breville Group Ltd,,,,,,$4.16 B,,
,,ALU,Altium Ltd,,,,,,$4.02 B,,
,,BPT,Beach Energy Ltd,,,,,,$4 B,,
