id,province,effectiveFromDate,effectiveToDate
urn:aph.gov.au:senateseat:NSW1,urn:iso:std:iso:3166:-2:AU-NSW,1901-01-01,
urn:aph.gov.au:senateseat:NSW2,urn:iso:std:iso:3166:-2:AU-NSW,1901-01-01,
urn:aph.gov.au:senateseat:NSW3,urn:iso:std:iso:3166:-2:AU-NSW,1901-01-01,
urn:aph.gov.au:senateseat:NSW4,urn:iso:std:iso:3166:-2:AU-NSW,1901-01-01,
urn:aph.gov.au:senateseat:NSW5,urn:iso:std:iso:3166:-2:AU-NSW,1901-01-01,
urn:aph.gov.au:senateseat:NSW6,urn:iso:std:iso:3166:-2:AU-NSW,1901-01-01,
urn:aph.gov.au:senateseat:NSW7,urn:iso:std:iso:3166:-2:AU-NSW,1948-01-01,
urn:aph.gov.au:senateseat:NSW8,urn:iso:std:iso:3166:-2:AU-NSW,1948-01-01,
urn:aph.gov.au:senateseat:NSW9,urn:iso:std:iso:3166:-2:AU-NSW,1948-01-01,
urn:aph.gov.au:senateseat:NSW10,urn:iso:std:iso:3166:-2:AU-NSW,1948-01-01,
urn:aph.gov.au:senateseat:NSW11,urn:iso:std:iso:3166:-2:AU-NSW,1984-01-01,
urn:aph.gov.au:senateseat:NSW12,urn:iso:std:iso:3166:-2:AU-NSW,1984-01-01,
urn:aph.gov.au:senateseat:QLD1,urn:iso:std:iso:3166:-2:AU-QLD,1901-01-01,
urn:aph.gov.au:senateseat:QLD2,urn:iso:std:iso:3166:-2:AU-QLD,1901-01-01,
urn:aph.gov.au:senateseat:QLD3,urn:iso:std:iso:3166:-2:AU-QLD,1901-01-01,
urn:aph.gov.au:senateseat:QLD4,urn:iso:std:iso:3166:-2:AU-QLD,1901-01-01,
urn:aph.gov.au:senateseat:QLD5,urn:iso:std:iso:3166:-2:AU-QLD,1901-01-01,
urn:aph.gov.au:senateseat:QLD6,urn:iso:std:iso:3166:-2:AU-QLD,1901-01-01,
urn:aph.gov.au:senateseat:QLD7,urn:iso:std:iso:3166:-2:AU-QLD,1948-01-01,
urn:aph.gov.au:senateseat:QLD8,urn:iso:std:iso:3166:-2:AU-QLD,1948-01-01,
urn:aph.gov.au:senateseat:QLD9,urn:iso:std:iso:3166:-2:AU-QLD,1948-01-01,
urn:aph.gov.au:senateseat:QLD10,urn:iso:std:iso:3166:-2:AU-QLD,1948-01-01,
urn:aph.gov.au:senateseat:QLD11,urn:iso:std:iso:3166:-2:AU-QLD,1984-01-01,
urn:aph.gov.au:senateseat:QLD12,urn:iso:std:iso:3166:-2:AU-QLD,1984-01-01,
urn:aph.gov.au:senateseat:VIC1,urn:iso:std:iso:3166:-2:AU-VIC,1901-01-01,
urn:aph.gov.au:senateseat:VIC2,urn:iso:std:iso:3166:-2:AU-VIC,1901-01-01,
urn:aph.gov.au:senateseat:VIC3,urn:iso:std:iso:3166:-2:AU-VIC,1901-01-01,
urn:aph.gov.au:senateseat:VIC4,urn:iso:std:iso:3166:-2:AU-VIC,1901-01-01,
urn:aph.gov.au:senateseat:VIC5,urn:iso:std:iso:3166:-2:AU-VIC,1901-01-01,
urn:aph.gov.au:senateseat:VIC6,urn:iso:std:iso:3166:-2:AU-VIC,1901-01-01,
urn:aph.gov.au:senateseat:VIC7,urn:iso:std:iso:3166:-2:AU-VIC,1948-01-01,
urn:aph.gov.au:senateseat:VIC8,urn:iso:std:iso:3166:-2:AU-VIC,1948-01-01,
urn:aph.gov.au:senateseat:VIC9,urn:iso:std:iso:3166:-2:AU-VIC,1948-01-01,
urn:aph.gov.au:senateseat:VIC10,urn:iso:std:iso:3166:-2:AU-VIC,1948-01-01,
urn:aph.gov.au:senateseat:VIC11,urn:iso:std:iso:3166:-2:AU-VIC,1984-01-01,
urn:aph.gov.au:senateseat:VIC12,urn:iso:std:iso:3166:-2:AU-VIC,1984-01-01,
urn:aph.gov.au:senateseat:WA1,urn:iso:std:iso:3166:-2:AU-WA,1901-01-01,
urn:aph.gov.au:senateseat:WA2,urn:iso:std:iso:3166:-2:AU-WA,1901-01-01,
urn:aph.gov.au:senateseat:WA3,urn:iso:std:iso:3166:-2:AU-WA,1901-01-01,
urn:aph.gov.au:senateseat:WA4,urn:iso:std:iso:3166:-2:AU-WA,1901-01-01,
urn:aph.gov.au:senateseat:WA5,urn:iso:std:iso:3166:-2:AU-WA,1901-01-01,
urn:aph.gov.au:senateseat:WA6,urn:iso:std:iso:3166:-2:AU-WA,1901-01-01,
urn:aph.gov.au:senateseat:WA7,urn:iso:std:iso:3166:-2:AU-WA,1948-01-01,
urn:aph.gov.au:senateseat:WA8,urn:iso:std:iso:3166:-2:AU-WA,1948-01-01,
urn:aph.gov.au:senateseat:WA9,urn:iso:std:iso:3166:-2:AU-WA,1948-01-01,
urn:aph.gov.au:senateseat:WA10,urn:iso:std:iso:3166:-2:AU-WA,1948-01-01,
urn:aph.gov.au:senateseat:WA11,urn:iso:std:iso:3166:-2:AU-WA,1984-01-01,
urn:aph.gov.au:senateseat:WA12,urn:iso:std:iso:3166:-2:AU-WA,1984-01-01,
urn:aph.gov.au:senateseat:SA1,urn:iso:std:iso:3166:-2:AU-SA,1901-01-01,
urn:aph.gov.au:senateseat:SA2,urn:iso:std:iso:3166:-2:AU-SA,1901-01-01,
urn:aph.gov.au:senateseat:SA3,urn:iso:std:iso:3166:-2:AU-SA,1901-01-01,
urn:aph.gov.au:senateseat:SA4,urn:iso:std:iso:3166:-2:AU-SA,1901-01-01,
urn:aph.gov.au:senateseat:SA5,urn:iso:std:iso:3166:-2:AU-SA,1901-01-01,
urn:aph.gov.au:senateseat:SA6,urn:iso:std:iso:3166:-2:AU-SA,1901-01-01,
urn:aph.gov.au:senateseat:SA7,urn:iso:std:iso:3166:-2:AU-SA,1948-01-01,
urn:aph.gov.au:senateseat:SA8,urn:iso:std:iso:3166:-2:AU-SA,1948-01-01,
urn:aph.gov.au:senateseat:SA9,urn:iso:std:iso:3166:-2:AU-SA,1948-01-01,
urn:aph.gov.au:senateseat:SA10,urn:iso:std:iso:3166:-2:AU-SA,1948-01-01,
urn:aph.gov.au:senateseat:SA11,urn:iso:std:iso:3166:-2:AU-SA,1984-01-01,
urn:aph.gov.au:senateseat:SA12,urn:iso:std:iso:3166:-2:AU-SA,1984-01-01,
urn:aph.gov.au:senateseat:TAS1,urn:iso:std:iso:3166:-2:AU-TAS,1901-01-01,
urn:aph.gov.au:senateseat:TAS2,urn:iso:std:iso:3166:-2:AU-TAS,1901-01-01,
urn:aph.gov.au:senateseat:TAS3,urn:iso:std:iso:3166:-2:AU-TAS,1901-01-01,
urn:aph.gov.au:senateseat:TAS4,urn:iso:std:iso:3166:-2:AU-TAS,1901-01-01,
urn:aph.gov.au:senateseat:TAS5,urn:iso:std:iso:3166:-2:AU-TAS,1901-01-01,
urn:aph.gov.au:senateseat:TAS6,urn:iso:std:iso:3166:-2:AU-TAS,1901-01-01,
urn:aph.gov.au:senateseat:TAS7,urn:iso:std:iso:3166:-2:AU-TAS,1948-01-01,
urn:aph.gov.au:senateseat:TAS8,urn:iso:std:iso:3166:-2:AU-TAS,1948-01-01,
urn:aph.gov.au:senateseat:TAS9,urn:iso:std:iso:3166:-2:AU-TAS,1948-01-01,
urn:aph.gov.au:senateseat:TAS10,urn:iso:std:iso:3166:-2:AU-TAS,1948-01-01,
urn:aph.gov.au:senateseat:TAS11,urn:iso:std:iso:3166:-2:AU-TAS,1984-01-01,
