id,name,province,profileURL,lastDistributionURL,lastDistributionYear
urn:aec.gov.au:division:Bean,Bean,urn:iso:std:iso:3166:-2:AU-ACT,https://www.aec.gov.au/profiles/ACT/bean.htm,https://www.aec.gov.au/Electorates/Redistributions/2017/act/determination.htm,2018
urn:aec.gov.au:division:Canberra,Canberra,urn:iso:std:iso:3166:-2:AU-ACT,https://www.aec.gov.au/profiles/ACT/canberra.htm,https://www.aec.gov.au/Electorates/Redistributions/2017/act/determination.htm,2018
urn:aec.gov.au:division:Fenner,Fenner,urn:iso:std:iso:3166:-2:AU-ACT,https://www.aec.gov.au/profiles/ACT/fenner.htm,https://www.aec.gov.au/Electorates/Redistributions/2017/act/determination.htm,2018
urn:aec.gov.au:division:Banks,Banks,urn:iso:std:iso:3166:-2:AU-NSW,https://www.aec.gov.au/profiles/NSW/banks.htm,https://www.aec.gov.au/Electorates/Redistributions/2014/nsw/final-report/,2016
urn:aec.gov.au:division:Barton,Barton,urn:iso:std:iso:3166:-2:AU-NSW,https://www.aec.gov.au/profiles/NSW/Barton.htm,https://www.aec.gov.au/Electorates/Redistributions/2014/nsw/final-report/,2016
urn:aec.gov.au:division:Bennelong,Bennelong,urn:iso:std:iso:3166:-2:AU-NSW,https://www.aec.gov.au/profiles/NSWnsw/bennelong.htm.htm,https://www.aec.gov.au/Electorates/Redistributions/2014/nsw/final-report/,2016
urn:aec.gov.au:division:Berowra,Berowra,urn:iso:std:iso:3166:-2:AU-NSW,https://www.aec.gov.au/profiles/NSW/berowra.htm,https://www.aec.gov.au/Electorates/Redistributions/2014/nsw/final-report/,2016
urn:aec.gov.au:division:Blaxland,Blaxland,urn:iso:std:iso:3166:-2:AU-NSW,https://www.aec.gov.au/profiles/NSW/blaxland.htm,https://www.aec.gov.au/Electorates/Redistributions/2014/nsw/final-report/,2016
urn:aec.gov.au:division:Bradfield,Bradfield,urn:iso:std:iso:3166:-2:AU-NSW,https://www.aec.gov.au/profiles/NSW/bradfield.htm,https://www.aec.gov.au/Electorates/Redistributions/2014/nsw/final-report/,2016
urn:aec.gov.au:division:Calare,Calare,urn:iso:std:iso:3166:-2:AU-NSW,https://www.aec.gov.au/profiles/NSW/calare.htm,https://www.aec.gov.au/Electorates/Redistributions/2014/nsw/final-report/,2016
urn:aec.gov.au:division:Chifley,Chifley,urn:iso:std:iso:3166:-2:AU-NSW,https://www.aec.gov.au/profiles/NSW/chifley.htm,https://www.aec.gov.au/Electorates/Redistributions/2014/nsw/final-report/,2016
urn:aec.gov.au:division:Cook,Cook,urn:iso:std:iso:3166:-2:AU-NSW,https://www.aec.gov.au/profiles/NSW/cook.htm,https://www.aec.gov.au/Electorates/Redistributions/2014/nsw/final-report/,2016
urn:aec.gov.au:division:Cowper,Cowper,urn:iso:std:iso:3166:-2:AU-NSW,https://www.aec.gov.au/profiles/NSW/cowper.htm,https://www.aec.gov.au/Electorates/Redistributions/2014/nsw/final-report/,2016
urn:aec.gov.au:division:Cunningham,Cunningham,urn:iso:std:iso:3166:-2:AU-NSW,https://www.aec.gov.au/profiles/NSW/cunningham.htm,https://www.aec.gov.au/Electorates/Redistributions/2014/nsw/final-report/,2016
urn:aec.gov.au:division:Dobell,Dobell,urn:iso:std:iso:3166:-2:AU-NSW,https://www.aec.gov.au/profiles/NSW/dobell.htm,https://www.aec.gov.au/Electorates/Redistributions/2014/nsw/final-report/,2016
urn:aec.gov.au:division:Eden-Monaro,Eden-Monaro,urn:iso:std:iso:3166:-2:AU-NSW,https://www.aec.gov.au/profiles/NSW/eden-monaro.htm,https://www.aec.gov.au/Electorates/Redistributions/2014/nsw/final-report/,2016
urn:aec.gov.au:division:Farrer,Farrer,urn:iso:std:iso:3166:-2:AU-NSW,https://www.aec.gov.au/profiles/NSW/farrer.htm,https://www.aec.gov.au/Electorates/Redistributions/2014/nsw/final-report/,2016
urn:aec.gov.au:division:Fowler,Fowler,urn:iso:std:iso:3166:-2:AU-NSW,https://www.aec.gov.au/profiles/NSW/fowler.htm,https://www.aec.gov.au/Electorates/Redistributions/2014/nsw/final-report/,2016
urn:aec.gov.au:division:Gilmore,Gilmore,urn:iso:std:iso:3166:-2:AU-NSW,https://www.aec.gov.au/profiles/NSW/gilmore.htm,https://www.aec.gov.au/Electorates/Redistributions/2014/nsw/final-report/,2016
