lobbyist_id,relation,client_id,effectiveFromDate,effectiveToDate
urn:lobbyists.ag.gov.au:71595434578,represents,urn:abr.business.gov.au:35915117478,2019-11-01,
urn:lobbyists.ag.gov.au:71595434578,represents,urn:abr.business.gov.au:57153480436,2019-11-01,
urn:lobbyists.ag.gov.au:71595434578,represents,urn:abr.business.gov.au:51146548003,2019-11-01,
urn:lobbyists.ag.gov.au:71595434578,represents,urn:abr.business.gov.au:61279597238,2019-11-01,
urn:lobbyists.ag.gov.au:71595434578,represents,urn:abr.business.gov.au:95922065177,2019-11-01,
urn:lobbyists.ag.gov.au:87145965466,represents,urn:abr.business.gov.au:36621802097,2019-11-01,
urn:lobbyists.ag.gov.au:89096965794,represents,urn:abr.business.gov.au:45156384262,2019-11-01,
urn:lobbyists.ag.gov.au:57393406800,represents,urn:abr.business.gov.au:52632328940,2019-11-01,
urn:lobbyists.ag.gov.au:20126507211,represents,urn:abr.business.gov.au:19162289410,2019-11-01,
urn:lobbyists.ag.gov.au:26149964189,represents,urn:abr.business.gov.au:52140915251,2019-11-01,
urn:lobbyists.ag.gov.au:71619450841,represents,urn:abr.business.gov.au:52140915251,2019-11-01,
urn:lobbyists.ag.gov.au:26614088881,represents,urn:abr.business.gov.au:72054247835,2019-11-01,
urn:lobbyists.ag.gov.au:26614088881,represents,urn:abr.business.gov.au:23132823226,2019-11-01,
urn:lobbyists.ag.gov.au:14007098295,represents,urn:abr.business.gov.au:71631632409,2019-11-01,
urn:lobbyists.ag.gov.au:73130740546,represents,urn:abr.business.gov.au:94006238839,2019-11-01,
urn:lobbyists.ag.gov.au:62621984923,represents,urn:abr.business.gov.au:41002653045,2019-11-01,
urn:lobbyists.ag.gov.au:65140067287,represents,urn:abr.business.gov.au:63604759462,2019-11-01,
urn:lobbyists.ag.gov.au:38162366056,represents,urn:abr.business.gov.au:51621646277,2019-11-01,
urn:lobbyists.ag.gov.au:86231566780,represents,urn:abr.business.gov.au:76616248992,2019-11-01,
urn:lobbyists.ag.gov.au:62632061226,represents,urn:abr.business.gov.au:13166165297,2019-11-01,
urn:lobbyists.ag.gov.au:99003613134,represents,urn:abr.business.gov.au:85000612831,2019-11-01,
urn:lobbyists.ag.gov.au:95164204111,represents,urn:abr.business.gov.au:59622234799,2019-11-01,
urn:lobbyists.ag.gov.au:83615178571,represents,urn:abr.business.gov.au:46162732649,2019-11-01,
urn:lobbyists.ag.gov.au:87145965466,represents,urn:abr.business.gov.au:30616935623,2019-11-01,
urn:lobbyists.ag.gov.au:89096965794,represents,urn:abr.business.gov.au:31051057428,2019-11-01,
urn:lobbyists.ag.gov.au:76615655699,represents,urn:abr.business.gov.au:31051057428,2019-11-01,
urn:lobbyists.ag.gov.au:22117516090,represents,urn:abr.business.gov.au:84162244368,2019-11-01,
urn:lobbyists.ag.gov.au:26149964189,represents,urn:abr.business.gov.au:59001777591,2019-11-01,
urn:lobbyists.ag.gov.au:71619450841,represents,urn:abr.business.gov.au:59001777591,2019-11-01,
urn:lobbyists.ag.gov.au:62632061226,represents,urn:abr.business.gov.au:29123129162,2019-11-01,
urn:lobbyists.ag.gov.au:21131482230,represents,urn:abr.business.gov.au:96443678906,2019-11-01,
urn:lobbyists.ag.gov.au:59719341477,represents,urn:abr.business.gov.au:97008084848,2019-11-01,
urn:lobbyists.ag.gov.au:50082123822,represents,urn:abr.business.gov.au:33605909911,2019-11-01,
urn:lobbyists.ag.gov.au:76615655699,represents,urn:abr.business.gov.au:64008605034,2019-11-01,
urn:lobbyists.ag.gov.au:76615655699,represents,urn:abr.business.gov.au:32105250413,2019-11-01,
urn:lobbyists.ag.gov.au:70737580108,represents,urn:abr.business.gov.au:44624001645,2019-11-01,
urn:lobbyists.ag.gov.au:65140067287,represents,urn:abr.business.gov.au:90074746160,2019-11-01,
urn:lobbyists.ag.gov.au:58101934454,represents,urn:abr.business.gov.au:34004341048,2019-11-01,
urn:lobbyists.ag.gov.au:63272133108,represents,urn:abr.business.gov.au:17417097078,2019-11-01,
urn:lobbyists.ag.gov.au:35631919009,represents,urn:abr.business.gov.au:29008619921,2019-11-01,
urn:lobbyists.ag.gov.au:34628814728,represents,urn:abr.business.gov.au:73624815032,2019-11-01,
urn:lobbyists.ag.gov.au:91338850428,represents,urn:abr.business.gov.au:50007050197,2019-11-01,
urn:lobbyists.ag.gov.au:29138717272,represents,urn:abr.business.gov.au:24626893310,2019-11-01,
urn:lobbyists.ag.gov.au:33425786517,represents,urn:abr.business.gov.au:90142386883,2019-11-01,
urn:lobbyists.ag.gov.au:95164204111,represents,urn:abr.business.gov.au:30533237653,2019-11-01,
urn:lobbyists.ag.gov.au:65140067287,represents,urn:abr.business.gov.au:89008647336,2019-11-01,
