mp_id,relation,division_id,parliament_id,effectiveFromDate,effectiveToDate
urn:aph.gov.au:memberofparl:STEVEN_GEORGANAS,elected_to_division,urn:aec.gov.au:division:Adelaide,urn:aph.gov.au:parliament:46,2019-07-02,
urn:aph.gov.au:memberofparl:ALAN_TUDGE,elected_to_division,urn:aec.gov.au:division:Aston,urn:aph.gov.au:parliament:46,2019-07-02,
urn:aph.gov.au:memberofparl:CATHERINE_KING,elected_to_division,urn:aec.gov.au:division:Ballarat,urn:aph.gov.au:parliament:46,2019-07-02,
urn:aph.gov.au:memberofparl:DAVID_COLEMAN,elected_to_division,urn:aec.gov.au:division:Banks,urn:aph.gov.au:parliament:46,2019-07-02,
urn:aph.gov.au:memberofparl:ANTONY_PASIN,elected_to_division,urn:aec.gov.au:division:Barker,urn:aph.gov.au:parliament:46,2019-07-02,
urn:aph.gov.au:memberofparl:LINDA_BURNEY,elected_to_division,urn:aec.gov.au:division:Barton,urn:aph.gov.au:parliament:46,2019-07-02,
urn:aph.gov.au:memberofparl:BRIDGET_ARCHER,elected_to_division,urn:aec.gov.au:division:Bass,urn:aph.gov.au:parliament:46,2019-07-02,
urn:aph.gov.au:memberofparl:DAVID_SMITH,elected_to_division,urn:aec.gov.au:division:Bean,urn:aph.gov.au:parliament:46,2019-07-02,
urn:aph.gov.au:memberofparl:LISA_CHESTERS,elected_to_division,urn:aec.gov.au:division:Bendigo,urn:aph.gov.au:parliament:46,2019-07-02,
urn:aph.gov.au:memberofparl:JOHN_ALEXANDER,elected_to_division,urn:aec.gov.au:division:Bennelong,urn:aph.gov.au:parliament:46,2019-07-02,
urn:aph.gov.au:memberofparl:JULIAN_LEESER,elected_to_division,urn:aec.gov.au:division:Berowra,urn:aph.gov.au:parliament:46,2019-07-02,
urn:aph.gov.au:memberofparl:SHAYNE_NEUMANN,elected_to_division,urn:aec.gov.au:division:Blair,urn:aph.gov.au:parliament:46,2019-07-02,
urn:aph.gov.au:memberofparl:JASON_CLARE,elected_to_division,urn:aec.gov.au:division:Blaxland,urn:aph.gov.au:parliament:46,2019-07-02,
urn:aph.gov.au:memberofparl:ROSS_VASTA,elected_to_division,urn:aec.gov.au:division:Bonner,urn:aph.gov.au:parliament:46,2019-07-02,
urn:aph.gov.au:memberofparl:NICOLLE_FLINT,elected_to_division,urn:aec.gov.au:division:Boothby,urn:aph.gov.au:parliament:46,2019-07-02,
urn:aph.gov.au:memberofparl:ANDREW_LAMING,elected_to_division,urn:aec.gov.au:division:Bowman,urn:aph.gov.au:parliament:46,2019-07-02,
urn:aph.gov.au:memberofparl:GAVIN_PEARCE,elected_to_division,urn:aec.gov.au:division:Braddon,urn:aph.gov.au:parliament:46,2019-07-02,
urn:aph.gov.au:memberofparl:PAUL_FLETCHER,elected_to_division,urn:aec.gov.au:division:Bradfield,urn:aph.gov.au:parliament:46,2019-07-02,
urn:aph.gov.au:memberofparl:MADELEINE_KING,elected_to_division,urn:aec.gov.au:division:Brand,urn:aph.gov.au:parliament:46,2019-07-02,
urn:aph.gov.au:memberofparl:TREVOR_EVANS,elected_to_division,urn:aec.gov.au:division:Brisbane,urn:aph.gov.au:parliament:46,2019-07-02,
urn:aph.gov.au:memberofparl:JULIAN_HILL,elected_to_division,urn:aec.gov.au:division:Bruce,urn:aph.gov.au:parliament:46,2019-07-02,
urn:aph.gov.au:memberofparl:MATT_KEOGH,elected_to_division,urn:aec.gov.au:division:Burt,urn:aph.gov.au:parliament:46,2019-07-02,
urn:aph.gov.au:memberofparl:ANDREW_GEE,elected_to_division,urn:aec.gov.au:division:Calare,urn:aph.gov.au:parliament:46,2019-07-02,
urn:aph.gov.au:memberofparl:MARIA_VAMVAKINOU,elected_to_division,urn:aec.gov.au:division:Calwell,urn:aph.gov.au:parliament:46,2019-07-02,
urn:aph.gov.au:memberofparl:ALICIA_PAYNE,elected_to_division,urn:aec.gov.au:division:Canberra,urn:aph.gov.au:parliament:46,2019-07-02,
urn:aph.gov.au:memberofparl:ANDREW_HASTIE,elected_to_division,urn:aec.gov.au:division:Canning,urn:aph.gov.au:parliament:46,2019-07-02,
urn:aph.gov.au:memberofparl:MICHELLE_LANDRY,elected_to_division,urn:aec.gov.au:division:Capricornia,urn:aph.gov.au:parliament:46,2019-07-02,
urn:aph.gov.au:memberofparl:ANTHONY_SMITH,elected_to_division,urn:aec.gov.au:division:Casey,urn:aph.gov.au:parliament:46,2019-07-02,
urn:aph.gov.au:memberofparl:EDHAM_HUSIC,elected_to_division,urn:aec.gov.au:division:Chifley,urn:aph.gov.au:parliament:46,2019-07-02,
urn:aph.gov.au:memberofparl:GLADYS_LIU,elected_to_division,urn:aec.gov.au:division:Chisholm,urn:aph.gov.au:parliament:46,2019-07-02,
urn:aph.gov.au:memberofparl:ANDREW_WILKIE,elected_to_division,urn:aec.gov.au:division:Clark,urn:aph.gov.au:parliament:46,2019-07-02,
urn:aph.gov.au:memberofparl:SCOTT_MORRISON,elected_to_division,urn:aec.gov.au:division:Cook,urn:aph.gov.au:parliament:46,2019-07-02,
urn:aph.gov.au:memberofparl:GERARDINE_KEARNEY,elected_to_division,urn:aec.gov.au:division:Cooper,urn:aph.gov.au:parliament:46,2019-07-02,
urn:aph.gov.au:memberofparl:ELIZABETH_COKER,elected_to_division,urn:aec.gov.au:division:Corangamite,urn:aph.gov.au:parliament:46,2019-07-02,
urn:aph.gov.au:memberofparl:RICHARD_MARLES,elected_to_division,urn:aec.gov.au:division:Corio,urn:aph.gov.au:parliament:46,2019-07-02,
urn:aph.gov.au:memberofparl:ANNE_ALY,elected_to_division,urn:aec.gov.au:division:Cowan,urn:aph.gov.au:parliament:46,2019-07-02,
urn:aph.gov.au:memberofparl:PATRICK_CONAGHAN,elected_to_division,urn:aec.gov.au:division:Cowper,urn:aph.gov.au:parliament:46,2019-07-02,
urn:aph.gov.au:memberofparl:SHARON_BIRD,elected_to_division,urn:aec.gov.au:division:Cunningham,urn:aph.gov.au:parliament:46,2019-07-02,
urn:aph.gov.au:memberofparl:CELIA_HAMMOND,elected_to_division,urn:aec.gov.au:division:Curtin,urn:aph.gov.au:parliament:46,2019-07-02,
urn:aph.gov.au:memberofparl:GEORGE_CHRISTENSEN,elected_to_division,urn:aec.gov.au:division:Dawson,urn:aph.gov.au:parliament:46,2019-07-02,
urn:aph.gov.au:memberofparl:MICHAEL_SUKKAR,elected_to_division,urn:aec.gov.au:division:Deakin,urn:aph.gov.au:parliament:46,2019-07-02,
urn:aph.gov.au:memberofparl:PETER_DUTTON,elected_to_division,urn:aec.gov.au:division:Dickson,urn:aph.gov.au:parliament:46,2019-07-02,
urn:aph.gov.au:memberofparl:EMMA_MCBRIDE,elected_to_division,urn:aec.gov.au:division:Dobell,urn:aph.gov.au:parliament:46,2019-07-02,
urn:aph.gov.au:memberofparl:PETA_MURPHY,elected_to_division,urn:aec.gov.au:division:Dunkley,urn:aph.gov.au:parliament:46,2019-07-02,
urn:aph.gov.au:memberofparl:MELISSA_PRICE,elected_to_division,urn:aec.gov.au:division:Durack,urn:aph.gov.au:parliament:46,2019-07-02,
urn:aph.gov.au:memberofparl:MICHAEL_KELLY,elected_to_division,urn:aec.gov.au:division:Eden-Monaro,urn:aph.gov.au:parliament:46,2019-07-02,
