ParentOrganisation.ABN,ParentOrganisation.LegalName,ABN,LegalName,ClientNotes
46071979461,FTI Consulting (Perth) Pty Ltd,," BMT Mercury Technology",
71595434578,PRX Unit Trust,35915117478," BRIMBANK CITY COUNCIL",https://www.brimbank.vic.gov.au
81623654839,Coode Holdings Pty Ltd,," Business News Pty Ltd",
71595434578,PRX Unit Trust,57153480436," MENTAL HEALTH FIRST AID AUSTRALIA","https://mhfa.com.au
"
48074671462,Essential Media Communications,," United Firefighters' Union of Australia-Victorian Branch",
71595434578,PRX Unit Trust,51146548003,	TYRESMART AUSTRALIA PTY LTD,http://tyresmart.com.au/
71595434578,PRX Unit Trust,61279597238,	Victoria State Emergency Service Authority,https://www.ses.vic.gov.au/
71595434578,PRX Unit Trust,95922065177,	VICTORIAN TRANSPORT ASSOCIATION INC.,http://vta.com.au/
79157510884,Catherine McGovern,,3DMEDiTech,
89096965794,opr Agency,,3M Australia,
50445644019,Gambaro Consulting Group,,4 Seasons Company Pty Ltd,
87145965466,Sling & Stone,36621802097,86400 HOLDINGS PTY LTD,https://www.86400.com.au/
63106038304,Premier Strategy Pty Ltd,,"A1 Mining ",
48074671462,Essential Media Communications,,A2EP,
73137508555,The Premier Communications Group Pty Ltd.,,AA Crown Holdings,
65140067287,"Barton Deakin ",,AARNet Pty Ltd,
79109681405,Hawker Britton Group Pty Ltd,,AARNet Pty Ltd,
31095619686,Emerald Corporate Group Pty Ltd,,Abbott,
32105250413,The Strategic Counsel,,Abbott Australasia Pty Ltd,
73145352147,London Agency Pty Ltd,,Abbott Diabetes Care,
73145352147,London Agency Pty Ltd,,Abbott Vascular,
89096965794,opr Agency,45156384262,AbbVie Australia,
99003613134,Covance Pty Ltd (Covance Market Access Services division),,AbbVie Pty Ltd,
90604408826,TSB Advisory Pty Ltd,,Ability First Australia,
83615178571,Lunik Pty Ltd,,Ability Options,
48074671462,Essential Media Communications,,Aboriginal Carbon Fund,
33136520548,SAS Consulting Group Pty Ltd,,Aboriginal Development Benefits Trust,
73137508555,The Premier Communications Group Pty Ltd.,,Aboriginal Legal Service (NSW/ACT),
99153936719,"Cornerstone Group Australia Pty Ltd ",,Abu Dhabi Investment Council,
99153936719,"Cornerstone Group Australia Pty Ltd ",,Abu Dhabi Investment Council,
57393406800,Anna Katrina Nix Kumar,52632328940,AccelerateHQ Pty Ltd,
20126507211,Richardson Coutts,19162289410,AccessComm,
26149964189,Premier State Consulting Pty Ltd,,Acciona,
26149964189,Premier State Consulting Pty Ltd,52140915251,Acciona Infrastructure Australia Pty Ltd,
71619450841,PremierNational Pty Ltd,52140915251,Acciona Infrastructure Australia Pty Ltd,
72688652639,John Fetter Group Pty Ltd,,Acer Computer Australia,
48074671462,Essential Media Communications,,Act for Peace,
32105250413,The Strategic Counsel,,Actelion Pharmaceuticals Ltd,
49090692014,Discourse Consulting Pty Ltd,,ADA,
64964952044,Govstrat Pty Ltd,,Adani,
81623654839,Coode Holdings Pty Ltd,,AdBrands Media,
23630677673,TG Endeavour Pty Ltd,,Adelaide Airport Limited,
81634747363,GC Advisory Pty Ltd,,Adelaide Football Club,
26614088881,Christmas Jalili Pty Ltd,72054247835,Adobe Systems Pty Ltd,https://www.adobe.com/au/
51364113263,Cotterell Jannette Suzanne,,Adopt Change (Adoption Awareness Ltd) pro bono,
99153936719,"Cornerstone Group Australia Pty Ltd ",,Advanced Algal Technologies Limited,
99153936719,"Cornerstone Group Australia Pty Ltd ",,Advanced Algal Technologies Limited,
50082123822,GRACosway Pty Ltd,,AECOM Australia,
69005120409,Vicom Australia Pty Ltd,,Aeroflex a Cobham Company,
80060862704,ABAKUS Aircraft and Aviation Specialists Pty Limited,,Aeronautics System Ltd,https://aeronautics-sys.com/
99153936719,"Cornerstone Group Australia Pty Ltd ",,Affordable Community Housing Limited,
24165141426,Craig Emerson Economics Pty Ltd,,Afterpay Touch,
93354249142,The Trustee for ECG Advisory Trust,,Afterpay Touch Group Ltd,
76619209915,Dragoman Pty Ltd,,Aged Care Guild,
85581677925,LK Creative as trustee for LK Trust,,Agersens,
26614088881,Christmas Jalili Pty Ltd,23132823226,Agripower Australia Limited,https://www.agripower.com.au
14007098295,Starfare Image Pty Ltd,71631632409,AGUSTIN OINTMENTS PTY LTD,
60093621455,SPIER CONSULTING P/L,,AHA,
51364113263,Cotterell Jannette Suzanne,,AHISA LIMITED,
50082123822,GRACosway Pty Ltd,,AHL Investments Pty Ltd,
17165851856,Willard Public Affairs Pty Limited,,"AIA Australia Limited ",
73130740546,CMAX Communications Pty Ltd,94006238839,Air Affairs Australia,https://www.airaffairs.com.au/
66163887885,Global Issues Group,,AIR CONDITIONING AND REFRIGERATION EQUIPMENT MANUFACTURERS ASSOCIATION OF AUSTRALIA INCORPORATED,
62621984923,Brickfielder Government Engagement,41002653045,Air Liquide Healthcare,
17148998645,Diplomacy Pty Limited,,Air New Zealand,
65140067287,"Barton Deakin ",63604759462,Air Trunk Pty Ltd,
60355347758,Trustee of Kerans Family Trust,,Airbus SE,
24613884763,Strategic Political Counsel Pty Ltd,,Aircraft Owners and Pilots Association of Australia,
38162366056,Newgate Communications Pty Limited,51621646277,AIRLINES FOR AUSTRALIA AND NEW ZEALAND LTD,
81623654839,Coode Holdings Pty Ltd,,Airport Bar and Cafe (Port Hedland),
86231566780,The Trustee for Bespoke Business Trust,76616248992,AIRTRUNK FINANCING PTY LTD,
62632061226,Public Affairs and Campaigns Australia Pty Ltd,13166165297,Akuna Infrastructure Solutions Pty Ltd,https://www.akunainfrastructure.com/
50082123822,GRACosway Pty Ltd,,ALDI Stores,
52159456685,WELLS HASLEM MAYHEW STRATEGIC PUBLIC AFFAIRS PTY. LTD.,,Alexion Pharmaceuticals Australasia,
52159456685,WELLS HASLEM MAYHEW STRATEGIC PUBLIC AFFAIRS PTY. LTD.,,Alexion Pharmaceuticals Australasia,
14007098295,Starfare Image Pty Ltd,,Alfhair Australia Pty Ltd,
13159060561,Megan Anwyl,,Alinta Energy,
13159060561,Megan Anwyl,,Alinta Energy,
30624548429,Health Communincations Australia Pty Limited,,Allergan Australia Pty Limited,
99003613134,Covance Pty Ltd (Covance Market Access Services division),85000612831,Allergan Australia Pty Ltd,
79109681405,Hawker Britton Group Pty Ltd,,Alliance 20,
95164204111,Etched Communications,59622234799,Alliance for Journalists' Freedom,www.journalistsfreedom.com
13099902459,Visionary  Enterprising Management Services Pty Ltd,,Alliance of Australian Retailers Pty Ltd,
79109681405,Hawker Britton Group Pty Ltd,,Allied Health Professions Australia,
20126507211,Richardson Coutts,,Allocate Software,
51364113263,Cotterell Jannette Suzanne,,Alphapharm,
83615178571,Lunik Pty Ltd,46162732649,Amaero Engineering Pty Ltd,
79109681405,Hawker Britton Group Pty Ltd,,Amazon,
65140067287,"Barton Deakin ",,Amazon,
87145965466,Sling & Stone,30616935623,AMAZON COMMERCIAL SERVICES PTY LTD,https://www.amazon.com/
90604408826,TSB Advisory Pty Ltd,,Amazon Web Services,
38162366056,Newgate Communications Pty Limited,,American Express Australia Limited,
89096965794,opr Agency,31051057428,Amgen Australia,
76615655699,Nexus APAC Pty Ltd,31051057428,Amgen Australia Pty Ltd,
85499693667,The Humphrey Company Pty Limited,,AMI International,
89096965794,opr Agency,,Amicus,
22117516090,Andrew Mihno,84162244368,AMOVEO (Modular Manufacturer of Affordable Housing),"Modular Manufacturer of Affordable Housing

https://www.amoveo.com.au"
91133062012,Sports Hydrant Pty Ltd,,AMP,
26149964189,Premier State Consulting Pty Ltd,59001777591,AMP Capital Investors Limited,
71619450841,PremierNational Pty Ltd,59001777591,AMP Capital Investors Limited,
65140067287,"Barton Deakin ",,AMP Limited,
79109681405,Hawker Britton Group Pty Ltd,,AMP Limited,
52159456685,WELLS HASLEM MAYHEW STRATEGIC PUBLIC AFFAIRS PTY. LTD.,,"AMP Limited ",
52159456685,WELLS HASLEM MAYHEW STRATEGIC PUBLIC AFFAIRS PTY. LTD.,,"AMP Limited ",
65129479821,Creative Transformations (Aust) Pty Ltd,,Ampcontrol Pty Ltd,
80060862704,ABAKUS Aircraft and Aviation Specialists Pty Limited,,AMST GmbH,https://www.amst.co.at/en/
49622979177,"Media and Public Affairs ",,Analytica,
55073965616,The Write Connection Pty Ltd,,Angel Flight,
55073965616,The Write Connection Pty Ltd,,Angel Flight,
17148998645,Diplomacy Pty Limited,,Anindilyakwa Land Council,
54078858401,"SA Milgate and Associates, Pty, Ltd",,ANNSCA Energy Pty Ltd,
54078858401,"SA Milgate and Associates, Pty, Ltd",,ANNSCA Energy Pty Ltd,
58076830530,Australian Project Developments Pty. Ltd.,,ANU Australian Rules Football Club,
89096965794,opr Agency,,ANZRP,
89096965794,opr Agency,,ANZRP,
44230891629,The Trustee for Hilton Valley Investment,,AON,
65140067287,"Barton Deakin ",,APA Group,
24613884763,Strategic Political Counsel Pty Ltd,,APA Group,
34837287161,Kirchmann Management Consultants Pty Ltd,,ApoPharma Inc.,
65140067287,"Barton Deakin ",,Apple,
79109681405,Hawker Britton Group Pty Ltd,,Apple Pty Ltd,
62632061226,Public Affairs and Campaigns Australia Pty Ltd,29123129162,Apply Direct Pty Ltd,https://www.applydirect.com.au/
24166898488,Bossy Group Pty Ltd,,Apptio Inc,
79109681405,Hawker Britton Group Pty Ltd,,APT Management Services Pty Ltd,
77076836792,Clifton Consulting Services Pty Ltd,,AquaSure Pty Ltd,
38162366056,Newgate Communications Pty Limited,,Ararat Rural City Council,
99153936719,"Cornerstone Group Australia Pty Ltd ",,arbias,
99153936719,"Cornerstone Group Australia Pty Ltd ",,arbias,
21131482230,Sanlaan Pty Ltd,96443678906,Arcare Aged Care,Arcare Aged Care
86615732182,Capetal Advisory Pty Ltd,,AREVA,
59719341477,Advanced Outcomes,97008084848,ARGONAUT RESOURCES NL,https://www.argonautresources.com/site/content/
39008566943,Pynfall Pty Ltd,,Arianespace,www.arianespace.com
49622979177,"Media and Public Affairs ",,Armstrong Legal,
50082123822,GRACosway Pty Ltd,33605909911,Arrow Pharmaceuticals Pty Ltd,https://www.arrowpharma.com.au/
37140000602,Paramul Pty Ltd,,ARTEC,
