id,abn,name,effectiveDateFrom,effectiveDateTo
urn:lobbyists.ag.gov.au:17620658308,17620658308,Castlereagh Advisory ,2019-11-01,
urn:lobbyists.ag.gov.au:71619450841,71619450841,PremierNational Pty Ltd,2019-11-01,
urn:lobbyists.ag.gov.au:26149964189,26149964189,Premier State Consulting Pty Ltd,2019-11-01,
urn:lobbyists.ag.gov.au:81634747363,81634747363,GC Advisory Pty Ltd,2019-11-01,
urn:lobbyists.ag.gov.au:99003613134,99003613134,Covance Pty Ltd (Covance Market Access Services division),2019-11-01,
urn:lobbyists.ag.gov.au:17148998645,17148998645,Diplomacy Pty Limited,2019-11-01,
urn:lobbyists.ag.gov.au:38162366056,38162366056,Newgate Communications Pty Limited,2019-11-01,
urn:lobbyists.ag.gov.au:25069333400,25069333400,TAYLOR STREET ADVISORY PTY LTD,2019-11-01,
urn:lobbyists.ag.gov.au:99153936719,99153936719,Cornerstone Group Australia Pty Ltd ,2019-11-01,
urn:lobbyists.ag.gov.au:14625954912,14625954912,Kurrajong Strategic Counsel,2019-11-01,
urn:lobbyists.ag.gov.au:28088863852,28088863852,Day & Hodge Associates Pty Ltd,2019-11-01,
urn:lobbyists.ag.gov.au:63003792452,63003792452,Wells Consulting Group PTY Ltd,2019-11-01,
urn:lobbyists.ag.gov.au:72963316425,72963316425,A D Evers-Buckland,2019-11-01,
urn:lobbyists.ag.gov.au:48074671462,48074671462,Essential Media Communications,2019-11-01,
urn:lobbyists.ag.gov.au:87145965466,87145965466,Sling & Stone,2019-11-01,
urn:lobbyists.ag.gov.au:76615655699,76615655699,Nexus APAC Pty Ltd,2019-11-01,
urn:lobbyists.ag.gov.au:50082123822,50082123822,GRACosway Pty Ltd,2019-11-01,
urn:lobbyists.ag.gov.au:50082123822,50082123822,GRACosway Pty Ltd,2019-11-01,
urn:lobbyists.ag.gov.au:40079616050,40079616050,Porter Novelli Australia Pty Ltd,2019-11-01,
urn:lobbyists.ag.gov.au:55073965616,55073965616,The Write Connection Pty Ltd,2019-11-01,
urn:lobbyists.ag.gov.au:89096965794,89096965794,opr Agency,2019-11-01,
urn:lobbyists.ag.gov.au:44230891629,44230891629,The Trustee for Hilton Valley Investment,2019-11-01,
urn:lobbyists.ag.gov.au:16007797793,16007797793,Alkar Pty Ltd,2019-11-01,
urn:lobbyists.ag.gov.au:50082123822,50082123822,GRACosway Pty Ltd,2019-11-01,
urn:lobbyists.ag.gov.au:73130740546,73130740546,CMAX Communications Pty Ltd,2019-11-01,
urn:lobbyists.ag.gov.au:56131702755,56131702755,GRA Partners Pty Ltd,2019-11-01,
urn:lobbyists.ag.gov.au:48074671462,48074671462,Essential Media Communications,2019-11-01,
urn:lobbyists.ag.gov.au:29145634224,29145634224,Jo Scard Pty Ltd,2019-11-01,
urn:lobbyists.ag.gov.au:79753055457,79753055457,Bomm Holdings P/L,2019-11-01,
urn:lobbyists.ag.gov.au:95164204111,95164204111,Etched Communications,2019-11-01,
urn:lobbyists.ag.gov.au:50082123822,50082123822,GRACosway Pty Ltd,2019-11-01,
urn:lobbyists.ag.gov.au:59160523384,59160523384,Freight  Trade Alliance (FTA) Pty Ltd,2019-11-01,
urn:lobbyists.ag.gov.au:53153921058,53153921058,One Degree Advisory Pty Ltd,2019-11-01,
urn:lobbyists.ag.gov.au:65140067287,65140067287,Barton Deakin ,2019-11-01,
urn:lobbyists.ag.gov.au:64168283234,64168283234,BroadSpectrum Consultants Pty Ltd,2019-11-01,
urn:lobbyists.ag.gov.au:60355347758,60355347758,Trustee of Kerans Family Trust,2019-11-01,
urn:lobbyists.ag.gov.au:22117516090,22117516090,Andrew Mihno,2019-11-01,
urn:lobbyists.ag.gov.au:17165851856,17165851856,Willard Public Affairs Pty Limited,2019-11-01,
urn:lobbyists.ag.gov.au:91133062012,91133062012,Sports Hydrant Pty Ltd,2019-11-01,
urn:lobbyists.ag.gov.au:18169904232,18169904232,Collective Position Group Pty Ltd,2019-11-01,
