id,Honorific,Salutation,Post Nominals,Surname,First Name,Other Name,Preferred Name,Initials,Gender,dateOfBirth
urn:aph.gov.au:memberofparl:ANTHONY_ALBANESE,Hon,Mr,MP,Albanese,Anthony,Norman,Anthony,A. N.,Male,1963-03-02
urn:aph.gov.au:memberofparl:JOHN_ALEXANDER,Mr,Mr,OAM MP,Alexander,John,Gilbert,John,J. G.,Male,1951-07-04
urn:aph.gov.au:memberofparl:KATRINA_ALLEN,Dr,Dr,MP,Allen,Katrina,Jane,Katie,K. J,Female,1966-02-24
urn:aph.gov.au:memberofparl:ANNE_ALY,Dr,Dr,MP,Aly,Anne,,Anne,A.,Female,1967-03-29
urn:aph.gov.au:memberofparl:KAREN_ANDREWS,Hon,Mrs,MP,Andrews,Karen,Lesley,Karen,Karen,Female,1960-08-23
urn:aph.gov.au:memberofparl:KEVIN_ANDREWS,Hon,Mr,MP,Andrews,Kevin,James,Kevin,Kevin,Male,1955-11-09
urn:aph.gov.au:memberofparl:BRIDGET_ARCHER,Mrs,Mrs,MP,Archer,Bridget,Kathleen,Bridget,B. K.,Female,1975-05-18
urn:aph.gov.au:memberofparl:ADAM_BANDT,Mr,Mr,MP,Bandt,Adam,Paul,,A. P.,Male,1972-03-11
urn:aph.gov.au:memberofparl:ANGIE_BELL,Ms,Ms,MP,Bell,Angie,Marion,Angie,A. M,Female,1968-07-11
urn:aph.gov.au:memberofparl:SHARON_BIRD,Hon,Ms,MP,Bird,Sharon,Leah,Sharon,S. L.,Female,1962-11-15
urn:aph.gov.au:memberofparl:CHRISTOPHER_BOWEN,Hon,Mr,MP,Bowen,Christopher,Eyles,Chris,C. E.,Male,1973-01-17
urn:aph.gov.au:memberofparl:RUSSELL_BROADBENT,Mr,Mr,MP,Broadbent,Russell,Evan,Russell,R. E.,Male,1950-12-25
urn:aph.gov.au:memberofparl:SCOTT_BUCHHOLZ,Hon,Mr,MP,Buchholz,Scott,,,S.,Male,1968-03-27
urn:aph.gov.au:memberofparl:ANTHONY_BURKE,Hon,Mr,MP,Burke,Anthony,Stephen,Tony,A. S.,Male,1969-11-04
urn:aph.gov.au:memberofparl:LINDA_BURNEY,Hon,Ms,MP,Burney,Linda,Jean,,L. J.,Female,1957-03-25
urn:aph.gov.au:memberofparl:JOSH_BURNS,Mr,Mr,MP,Burns,Josh,,Josh,J.,Male,1987-02-06
urn:aph.gov.au:memberofparl:MARK_BUTLER,Hon,Mr,MP,Butler,Mark,Christopher,,M. C.,Male,1970-07-08
urn:aph.gov.au:memberofparl:TERRI_BUTLER,Ms,Ms,MP,Butler,Terri,Megan,Terri,T. M.,Female,1977-11-28
urn:aph.gov.au:memberofparl:ANTHONY_BYRNE,Hon,Mr,MP,Byrne,Anthony,Michael,,A. M.,Male,1962-12-01
urn:aph.gov.au:memberofparl:JAMES_CHALMERS,Dr,Dr,MP,Chalmers,James,Edward,Jim,J. E.,Male,1978-03-02
urn:aph.gov.au:memberofparl:NICHOLAS_CHAMPION,Mr,Mr,MP,Champion,Nicholas,David,Nick,N. D.,Male,1972-02-27
urn:aph.gov.au:memberofparl:DARREN_CHESTER,Hon,Mr,MP,Chester,Darren,Jeffrey,Darren,D. J.,Male,1967-09-13
urn:aph.gov.au:memberofparl:LISA_CHESTERS,Ms,Ms,MP,Chesters,Lisa,Marie,Lisa,L. M.,Female,1980-02-11
urn:aph.gov.au:memberofparl:GEORGE_CHRISTENSEN,Mr,Mr,MP,Christensen,George,Robert,George,G. R.,Male,1978-06-30
urn:aph.gov.au:memberofparl:JASON_CLARE,Hon,Mr,MP,Clare,Jason,Dean,,J. D.,Male,1972-03-22
urn:aph.gov.au:memberofparl:SHARON_CLAYDON,Ms,Ms,MP,Claydon,Sharon,Catherine,Sharon,S. C.,Female,1964-04-26
urn:aph.gov.au:memberofparl:ELIZABETH_COKER,Ms,Ms,MP,Coker,Elizabeth,Ann,Libby,E. A.,Female,1962-07-11
urn:aph.gov.au:memberofparl:DAVID_COLEMAN,Hon,Mr,MP,Coleman,David,Bernard,David,D. B.,Male,1974-05-05
urn:aph.gov.au:memberofparl:JULIE_COLLINS,Hon,Ms,MP,Collins,Julie,Maree,,J. M.,Female,1971-07-03
urn:aph.gov.au:memberofparl:PATRICK_CONAGHAN,Mr,Mr,MP,Conaghan,Patrick,John,Pat,P. J.,Male,1971-01-31
urn:aph.gov.au:memberofparl:VINCENT_CONNELLY,Mr,Mr,MP,Connelly,Vincent,Gerard,Vince,V. G.,Male,1978-09-16
urn:aph.gov.au:memberofparl:PATRICK_CONROY,Mr,Mr,MP,Conroy,Patrick,Martin,Pat,P. M.,Male,1979-05-10
urn:aph.gov.au:memberofparl:MARK_COULTON,Hon,Mr,MP,Coulton,Mark,Maclean,,M. M.,Male,1958-02-03
urn:aph.gov.au:memberofparl:DUGALD_DICK,Mr,Mr,MP,Dick,Dugald,Milton,Milton,M. D.,Male,1972-07-21
urn:aph.gov.au:memberofparl:MARK_DREYFUS,Hon,Mr,QC MP,Dreyfus,Mark,Alfred,Mark,M. A.,Male,1956-10-03
urn:aph.gov.au:memberofparl:DAMIAN_DRUM,Hon,Mr,MP,Drum,Damian,Kevin,Damian,D. K.,Male,1960-07-28
urn:aph.gov.au:memberofparl:PETER_DUTTON,Hon,Mr,MP,Dutton,Peter,Craig,,P. C.,Male,1970-11-18
urn:aph.gov.au:memberofparl:MARIA_ELLIOT,Hon,Mrs,MP,Elliot,Maria,Justine,Justine,M. J.,Female,1967-07-29
urn:aph.gov.au:memberofparl:WARREN_ENTSCH,Hon,Mr,MP,Entsch,Warren,George,Warren,W. G.,Male,1950-05-31
urn:aph.gov.au:memberofparl:TREVOR_EVANS,Hon,Mr,MP,Evans,Trevor,Mark,Trevor,T. M.,Male,1981-08-28
urn:aph.gov.au:memberofparl:JASON_FALINSKI,Mr,Mr,MP,Falinski,Jason,George,Jason,J. G.,Male,1970-08-24
urn:aph.gov.au:memberofparl:JOEL_FITZGIBBON,Hon,Mr,MP,Fitzgibbon,Joel,Andrew,,J. A.,Male,1962-01-16
urn:aph.gov.au:memberofparl:PAUL_FLETCHER,Hon,Mr,MP,Fletcher,Paul,William,Paul,P. W.,Male,1965-01-16
urn:aph.gov.au:memberofparl:NICOLLE_FLINT,Ms,Ms,MP,Flint,Nicolle,Jane,,N. J.,Female,1978-07-15
urn:aph.gov.au:memberofparl:MICHAEL_FREELANDER,Dr,Dr,MP,Freelander,Michael,Randolph,Mike,M. R.,Male,1953-09-23
urn:aph.gov.au:memberofparl:JOSHUA_FRYDENBERG,Hon,Mr,MP,Frydenberg,Joshua,Anthony,Josh,J. A.,Male,1971-07-17
urn:aph.gov.au:memberofparl:ANDREW_GEE,Hon,Mr,MP,Gee,Andrew,Robert,Andrew,A. R.,Male,1968-09-13
urn:aph.gov.au:memberofparl:STEVEN_GEORGANAS,Mr,Mr,MP,Georganas,Steven,,Steve,S.,Male,1959-06-13
urn:aph.gov.au:memberofparl:ANDREW_GILES,Mr,Mr,MP,Giles,Andrew,James,Andrew,A. J.,Male,1973-07-31
urn:aph.gov.au:memberofparl:DAVID_GILLESPIE,Hon Dr,Dr,MP,Gillespie,David,Arthur,David,D. A.,Male,1957-12-20
urn:aph.gov.au:memberofparl:IAN_GOODENOUGH,Mr,Mr,MP,Goodenough,Ian,Reginald,Ian,I. R.,Male,1975-07-03
urn:aph.gov.au:memberofparl:PATRICK_GORMAN,Mr,Mr,MP,Gorman,Patrick,,,P. G.,Male,1984-12-12
urn:aph.gov.au:memberofparl:LUKE_GOSLING,Mr,Mr,OAM MP,Gosling,Luke,John,Luke,L. J.,Male,1971-09-17
urn:aph.gov.au:memberofparl:HELEN_HAINES,Dr,Dr,MP,Haines,Helen,Mary,Helen,H. M,Female,1961-09-21
urn:aph.gov.au:memberofparl:CELIA_HAMMOND,Ms,Ms,MP,Hammond,Celia,Monica,Celia,C. M.,Female,1968-11-22
urn:aph.gov.au:memberofparl:ANDREW_HASTIE,Mr,Mr,MP,Hastie,Andrew,William,Andrew,A. W.,Male,1982-09-30
urn:aph.gov.au:memberofparl:ALEXANDER_HAWKE,Hon,Mr,MP,Hawke,Alexander,George,Alex,A. G.,Male,1977-07-09
urn:aph.gov.au:memberofparl:CHRISTOPHER_HAYES,Mr,Mr,MP,Hayes,Christopher,Patrick,Chris,C. P.,Male,1955-07-17
urn:aph.gov.au:memberofparl:JULIAN_HILL,Mr,Mr,MP,Hill,Julian,Christopher,Julian,J. C.,Male,1973-06-04
urn:aph.gov.au:memberofparl:KEVIN_HOGAN,Mr,Mr,MP,Hogan,Kevin,John,Kevin,K. J.,Male,1963-08-11
urn:aph.gov.au:memberofparl:LUKE_HOWARTH,Hon,Mr,MP,Howarth,Luke,Ronald,Luke,L. R.,Male,1972-06-06
urn:aph.gov.au:memberofparl:GREGORY_HUNT,Hon,Mr,MP,Hunt,Gregory,Andrew,Greg,G. A.,Male,1965-11-18
urn:aph.gov.au:memberofparl:EDHAM_HUSIC,Hon,Mr,MP,Husic,Edham,Nurredin,Ed,E. N.,Male,1970-02-03
urn:aph.gov.au:memberofparl:STEPHEN_IRONS,Hon,Mr,MP,Irons,Stephen,James,Steve,S. J.,Male,1958-09-01
urn:aph.gov.au:memberofparl:STEPHEN_JONES,Mr,Mr,MP,Jones,Stephen,Patrick,Stephen,S. P.,Male,1965-07-29
urn:aph.gov.au:memberofparl:BARNABY_JOYCE,Hon,Mr,MP,Joyce,Barnaby,Thomas Gerard,Barnaby,B. T. G.,Male,1967-04-17
urn:aph.gov.au:memberofparl:ROBERT_KATTER,Hon,Mr,MP,Katter,Robert,Carl,Bob,R. C.,Male,1945-05-22
urn:aph.gov.au:memberofparl:GERARDINE_KEARNEY,Ms,Ms,MP,Kearney,Gerardine,Mary,Ged,G. M.,Female,1963-10-29
urn:aph.gov.au:memberofparl:CRAIG_KELLY,Mr,Mr,MP,Kelly,Craig,,,C.,Male,1963-09-29
urn:aph.gov.au:memberofparl:MICHAEL_KELLY,Hon Dr,Dr,AM MP,Kelly,Michael,Joseph,Mike,M. J.,Male,1960-02-23
urn:aph.gov.au:memberofparl:MATT_KEOGH,Mr,Mr,MP,Keogh,Matt,James,Matt,M. J.,Male,1981-11-11
urn:aph.gov.au:memberofparl:PETER_KHALIL,Mr,Mr,MP,Khalil,Peter,,Peter,P.,Male,1973-03-23
urn:aph.gov.au:memberofparl:CATHERINE_KING,Hon,Ms,MP,King,Catherine,Fiona,,C. F.,Female,1966-06-02
urn:aph.gov.au:memberofparl:MADELEINE_KING,Ms,Ms,MP,King,Madeleine,Mary Harvie,Madeleine,M. M. H.,Female,1973-03-31
urn:aph.gov.au:memberofparl:ANDREW_LAMING,Mr,Mr,MP,Laming,Andrew,Charles,,A. C.,Male,1966-09-30
urn:aph.gov.au:memberofparl:MICHELLE_LANDRY,Hon,Ms,MP,Landry,Michelle,Leanne,Michelle,M. L.,Female,1962-10-15
urn:aph.gov.au:memberofparl:JULIAN_LEESER,Mr,Mr,MP,Leeser,Julian,,Julian,J.,Male,1976-05-25
urn:aph.gov.au:memberofparl:ANDREW_LEIGH,Hon Dr,Dr,MP,Leigh,Andrew,Keith,,A. K.,Male,1972-08-03
urn:aph.gov.au:memberofparl:SUSSAN_LEY,Hon,Ms,MP,Ley,Sussan,Penelope,,S. P.,Female,1961-12-14
urn:aph.gov.au:memberofparl:DAVID_LITTLEPROUD,Hon,Mr,MP,Littleproud,David,,David,D.,Male,1976-09-04
urn:aph.gov.au:memberofparl:GLADYS_LIU,Ms,Ms,MP,Liu,Gladys,,Gladys,G. ,Female,1964-04-06
urn:aph.gov.au:memberofparl:NOLA_MARINO,Hon,Mrs,MP,Marino,Nola,Bethwyn,,N. B.,Female,1954-02-18
urn:aph.gov.au:memberofparl:RICHARD_MARLES,Hon,Mr,MP,Marles,Richard,Donald,,R. D.,Male,1967-07-13
urn:aph.gov.au:memberofparl:FIONA_MARTIN,Dr,Dr,MP,Martin,Fiona,Barbouttis,Fiona,F. B.,Female,1977-11-16
urn:aph.gov.au:memberofparl:EMMA_MCBRIDE,Ms,Ms,MP,McBride,Emma,Margaret,Emma,E. M.,Female,1975-04-27
urn:aph.gov.au:memberofparl:MICHAEL_MCCORMACK,Hon,Mr,MP,McCormack,Michael,Francis,Michael,M. F.,Male,1964-08-02
urn:aph.gov.au:memberofparl:MELISSA_MCINTOSH,Mrs,Mrs,MP,McIntosh,Melissa,Iris,Melissa,M. I.,Female,1977-08-24
urn:aph.gov.au:memberofparl:JOHN_MCVEIGH,Hon Dr,Dr,MP,McVeigh,John,Joseph,John,J. J.,Male,1965-05-13
urn:aph.gov.au:memberofparl:BRIAN_MITCHELL,Mr,Mr,MP,Mitchell,Brian,Keith,Brian,B. K.,Male,1967-07-16
urn:aph.gov.au:memberofparl:ROBERT_MITCHELL,Mr,Mr,MP,Mitchell,Robert,George,Rob,R. G.,Male,1967-09-09
urn:aph.gov.au:memberofparl:SCOTT_MORRISON,Hon,Mr,MP,Morrison,Scott,John,Scott,S. J.,Male,1968-05-13
urn:aph.gov.au:memberofparl:BEN_MORTON,Hon,Mr,MP,Morton,Ben,,Ben,B.,Male,1981-06-29
urn:aph.gov.au:memberofparl:DANIEL_MULINO,Dr,Dr,MP,Mulino,Daniel,,Daniel,D. ,Male,1969-11-06
urn:aph.gov.au:memberofparl:PETA_MURPHY,Ms,Ms,MP,Murphy,Peta,Jan,Peta,P. J.,Female,1973-11-01
urn:aph.gov.au:memberofparl:SHAYNE_NEUMANN,Hon,Mr,MP,Neumann,Shayne,Kenneth,,S. K.,Male,1961-08-26
urn:aph.gov.au:memberofparl:EDWARD_O'BRIEN,Mr,Mr,MP,O'Brien,Edward,Lynam,Ted,E. L.,Male,1974-05-07
urn:aph.gov.au:memberofparl:LLEWELLYN_O'BRIEN,Mr,Mr,MP,O'Brien,Llewellyn,Stephen,Llew,L. S.,Male,1972-07-26
urn:aph.gov.au:memberofparl:BRENDAN_O'CONNOR,Hon,Mr,MP,O'Connor,Brendan,Patrick John,,B. P. J.,Male,1962-03-02
urn:aph.gov.au:memberofparl:KENNETH_O'DOWD,Mr,Mr,MP,O'Dowd,Kenneth,Desmond,Ken,K. D.,Male,1950-07-30
urn:aph.gov.au:memberofparl:CLARE_O'NEIL,Ms,Ms,MP,O'Neil,Clare,Ellen,,C. E.,Female,1980-09-12
urn:aph.gov.au:memberofparl:JULIE_OWENS,Ms,Ms,MP,Owens,Julie,Ann,,J. A.,Female,1958-10-17
urn:aph.gov.au:memberofparl:ANTONY_PASIN,Mr,Mr,MP,Pasin,Antony,,Tony,A.,Male,1977-10-01
urn:aph.gov.au:memberofparl:ALICIA_PAYNE,Ms,Ms,MP,Payne,Alicia,Emma,Alicia,A. E.,Female,1982-07-24
urn:aph.gov.au:memberofparl:GAVIN_PEARCE,Mr,Mr,MP,Pearce,Gavin,Bruce,Gavin,G. B.,Male,1967-12-21
urn:aph.gov.au:memberofparl:GRAHAM_PERRETT,Mr,Mr,MP,Perrett,Graham,Douglas,,G. D.,Male,1966-01-05
urn:aph.gov.au:memberofparl:FIONA_PHILLIPS,Mrs,Mrs,MP,Phillips,Fiona,Evon,Fiona,F. E.,Female,1970-02-18
urn:aph.gov.au:memberofparl:KEITH_PITT,Hon,Mr,MP,Pitt,Keith,John,Keith,K. J.,Male,1969-08-31
urn:aph.gov.au:memberofparl:TANYA_PLIBERSEK,Hon,Ms,MP,Plibersek,Tanya,Joan,,T. J.,Female,1969-12-02
urn:aph.gov.au:memberofparl:CHARLES_PORTER,Hon,Mr,MP,Porter,Charles,,Christian,C. C.,Male,1970-07-11
urn:aph.gov.au:memberofparl:MELISSA_PRICE,Hon,Ms,MP,Price,Melissa,Lee,,M. L.,Female,1963-12-12
urn:aph.gov.au:memberofparl:ROWAN_RAMSEY,Mr,Mr,MP,Ramsey,Rowan,Eric,,R. E.,Male,1956-08-04
urn:aph.gov.au:memberofparl:AMANDA_RISHWORTH,Hon,Ms,MP,Rishworth,Amanda,Louise,,A. L.,Female,1978-07-10
urn:aph.gov.au:memberofparl:STUART_ROBERT,Hon,Mr,MP,Robert,Stuart,Rowland,,S. R.,Male,1970-12-11
urn:aph.gov.au:memberofparl:MICHELLE_ROWLAND,Ms,Ms,MP,Rowland,Michelle,Anne,Michelle,M. A.,Female,1971-11-16
urn:aph.gov.au:memberofparl:JOANNE_RYAN,Ms,Ms,MP,Ryan,Joanne,Catherine,Joanne,J. C.,Female,1961-07-29
urn:aph.gov.au:memberofparl:REBEKHA_SHARKIE,Ms,Ms,MP,Sharkie,Rebekha,Carina Che,Rebekha,R.,Female,1972-08-24
urn:aph.gov.au:memberofparl:DEVANAND_SHARMA,Mr,Mr,MP,Sharma,Devanand,Noel,Dave,D. N.,Male,1975-12-21
urn:aph.gov.au:memberofparl:WILLIAM_SHORTEN,Hon,Mr,MP,Shorten,William,Richard,Bill,W. R.,Male,1967-05-12
