id,honorific,salutation,surname,firstName,otherName,preferredName,initials,gender,dateOfBirth
urn:aph.gov.au:senators:ALEXANDERGALLACHER,Senator,,Gallacher,Alexander,McEachian,,,Male,1954-01-01
urn:aph.gov.au:senators:ANNEURQUHART,Senator,,Urquhart,Anne,Elizabeth,,,Female,1957-10-18
urn:aph.gov.au:senators:ANTHONYCHISHOLM,Senator,,Chisholm,Anthony,,,,Male,1978-02-24
urn:aph.gov.au:senators:BARRYO'SULLIVAN,Senator,,O'Sullivan,Barry,James,,,Male,1957-03-24
urn:aph.gov.au:senators:BRIANBURSTON,Senator,,Burston,Brian,,,,Male,1948-02-25
urn:aph.gov.au:senators:BRIDGETMCKENZIE,Senator,,McKenzie,Bridget,,,,Female,1969-12-27
urn:aph.gov.au:senators:CAROLBROWN,Senator,,Brown,Carol,Louise,,,Female,1963-07-19
urn:aph.gov.au:senators:CATRYNABILYK,Senator,,Bilyk,Catryna,Louise,,,Female,1959-02-07
urn:aph.gov.au:senators:CHRISKETTER,Senator,,Ketter,Chris,,,,Male,1961-02-12
urn:aph.gov.au:senators:CHRISTOPHERBACK,Senator,,Back,Christopher,John,,,Male,1950-02-11
urn:aph.gov.au:senators:CLAIREMOORE,Senator,,Moore,Claire,,,,Female,1956-02-19
urn:aph.gov.au:senators:CORYBERNARDI,Senator,,Bernardi,Cory,,,,Male,1969-11-06
urn:aph.gov.au:senators:DAVIDBUSHBY,Senator,,Bushby,David,Christopher,,,Male,1965-07-17
urn:aph.gov.au:senators:DAVIDLEYONHJELM,Senator,,Leyonhjelm,David,,,,Male,1952-04-01
urn:aph.gov.au:senators:DEBORAHO'NEILL,Senator,,O'Neill,Deborah,Mary,,,Female,1961-06-04
urn:aph.gov.au:senators:DERRYNHINCH,Senator,,Hinch,Derryn,Nigel,,,Male,1944-02-02
urn:aph.gov.au:senators:DONALDFARRELL,Senator,,Farrell,Donald,Edward,,,Male,1954-06-06
urn:aph.gov.au:senators:GAVINMARSHALL,Senator,,Marshall,Gavin,,,,Male,1960-03-25
urn:aph.gov.au:senators:GLENNSTERLE,Senator,,Sterle,Glenn,,,,Male,1960-01-03
urn:aph.gov.au:senators:HELENPOLLEY,Senator,,Polley,Helen,Beatrice,,,Female,1957-02-09
urn:aph.gov.au:senators:ANNERUSTON,Senator,,Ruston,Anne,,,,Female,1963-06-10
urn:aph.gov.au:senators:ARTHURSINODINOS,Senator,,Sinodinos,Arthur,,,,Male,1957-02-25
urn:aph.gov.au:senators:CONCETTAFIERRAVANTI-WELLS,Senator,,Fierravanti-Wells,Concetta,Anna,,,Female,1960-05-20
urn:aph.gov.au:senators:DOUGLASCAMERON,Senator,,Cameron,Douglas,Niven,,,Male,1951-01-27
urn:aph.gov.au:senators:ERICABETZ,Senator,,Abetz,Eric,,,,Male,1958-01-25
urn:aph.gov.au:senators:FIONANASH,Senator,,Nash,Fiona,Joy,,,Female,1965-05-06
urn:aph.gov.au:senators:GEORGEBRANDIS,Senator,,Brandis,George,Henry,,,Male,1957-06-22
urn:aph.gov.au:senators:IANMACDONALD,Senator,,Macdonald,Ian,Douglas,,,Male,1945-11-29
urn:aph.gov.au:senators:JACINTACOLLINS,Senator,,Collins,Jacinta,Mary Ann,,,Female,1962-09-04
urn:aph.gov.au:senators:JAMESMCGRATH,Senator,,McGrath,James,,,,Male,1974-05-14
urn:aph.gov.au:senators:KIMCARR,Senator,,Carr,Kim,John,,,Male,1955-07-02
urn:aph.gov.au:senators:LISASINGH,Senator,,Singh,Lisa,Maria,,,Female,1972-02-20
urn:aph.gov.au:senators:MARISEPAYNE,Senator,,Payne,Marise,Ann,,,Female,1964-07-29
urn:aph.gov.au:senators:MATHIASCORMANN,Senator,,Cormann,Mathias,Hubert Paul,,,Male,1970-09-20
urn:aph.gov.au:senators:MATTHEWCANAVAN,Senator,,Canavan,Matthew,,,,Male,1980-12-17
urn:aph.gov.au:senators:MICHAELIACASH,Senator,,Cash,Michaelia,Clare,,,Female,1970-07-19
urn:aph.gov.au:senators:MITCHELLFIFIELD,Senator,,Fifield,Mitchell,Peter,,,Male,1967-01-16
